distance,time,lat,lon,ele,speed,hr,cad,temperature,strava_index,camera.ele,camera.lon,camera.lat,camera.roll,camera.heading,camera.pitch
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
9.2,2023-08-02 23:43:26,23.701524,114.651909,78.43,1.39,0,0,20,2,11063.498316,114.651373,23.709,0,-1.505716,-1.570796
